"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"V12",1,0.0708212050453594,0.0708212050453594,11.5438231298659,0.00085544100816115
"V36",1,0.0710530256838117,0.0710530256838117,11.5816097849565,0.000839377911801058
"V37",1,0.989227916492193,0.989227916492193,161.243685359459,4.40247242698185e-26
"V38",1,0.159533682619127,0.159533682619127,26.0039152713067,9.4209564399543e-07
"V61",1,0.0253036671779626,0.0253036671779626,4.12448585494004,0.0439018847925447
"V63",1,0.427768840591043,0.427768840591043,69.7261199253539,2.87801398259096e-14
"V64",1,0.076639261891464,0.076639261891464,12.4921636607552,0.000532841917569648
"V73",1,0.148117907828814,0.148117907828814,24.1431493469574,2.1721391044231e-06
"V98",1,0.139521338945538,0.139521338945538,22.7419126601673,4.10321033480288e-06
"V106",1,0.0778837614962931,0.0778837614962931,12.6950165113123,0.000481825592239621
"V108",1,0.0781511417889384,0.0781511417889384,12.7385993733199,0.000471531874098907
"V114",1,0.015662435199942,0.015662435199942,2.55296957479494,0.112035856082721
"V116",1,0.00215590892614796,0.00215590892614796,0.351412141485186,0.554141440704946
"V119",1,0.0997545906780414,0.0997545906780414,16.2599513866213,8.48347762324355e-05
"V138",1,0.383754062107514,0.383754062107514,62.5517317235624,3.81529578188104e-13
"V140",1,0.153363837002068,0.153363837002068,24.9982333361252,1.47778827951751e-06
"V141",1,0.24923802696476,0.24923802696476,40.6256812302923,1.83624709990368e-09
"V142",1,0.428331678679141,0.428331678679141,69.8178622691279,2.7859700615627e-14
"V143",1,0.00123690559418211,0.00123690559418211,0.20161503039146,0.654020470785719
"V145",1,0.84688154754111,0.84688154754111,138.041294136414,1.91027700347437e-23
"V146",1,0.00762489233549556,0.00762489233549556,1.24285386627996,0.266572885698184
"V147",1,0.0769025447821934,0.0769025447821934,12.5350786481768,0.000521607530458105
"V148",1,0.205708058425705,0.205708058425705,33.5303168215444,3.54648888122307e-08
"V161",1,0.0832964340092819,0.0832964340092819,13.5772795864719,0.000311769135120341
"V163",1,0.0780200080285942,0.0780200080285942,12.7172246320289,0.000476551965147444
"V165",1,0.0777064957677697,0.0777064957677697,12.6661222808943,0.000488776226669347
"V166",1,0.0505054933130075,0.0505054933130075,8.23237166775924,0.00466385093587229
"V168",1,0.566754505693363,0.566754505693363,92.380718000893,1.37541367885718e-17
"V172",1,0.0755924409054424,0.0755924409054424,12.3215323321366,0.000580010463634703
"V173",1,0.0206816727903891,0.0206816727903891,3.37110294253115,0.0681824685649678
"V174",1,0.124141458589843,0.124141458589843,20.2349993921577,1.30080493439774e-05
"V176",1,0.147372162205051,0.147372162205051,24.0215931608537,2.29480440759586e-06
"V177",1,0.0132735420441864,0.0132735420441864,2.16358111340788,0.143254733330737
"V180",1,0.210700521197522,0.210700521197522,34.3440859064306,2.50991424637265e-08
"V181",1,0.0924886804676859,0.0924886804676859,15.0756114379843,0.000150116339175867
"V185",1,0.0889110600325107,0.0889110600325107,14.4924609888638,0.000199266557441268
"V186",1,0.0146011807709759,0.0146011807709759,2.37998560176137,0.124849824264755
"V188",1,0.0930854510014991,0.0930854510014991,15.1728847544584,0.000143209899251334
"V190",1,0.0292564088956543,0.0292564088956543,4.76878089676899,0.0304183683985791
"V192",1,0.05770811708032,0.05770811708032,9.40639595593072,0.00253467124716104
"V195",1,0.209528714085862,0.209528714085862,34.153081898088,2.72166553722284e-08
"V200",1,0.0944007060286493,0.0944007060286493,15.3872707055922,0.000129108308014693
"V201",1,0.0382726928418993,0.0382726928418993,6.23843094151815,0.0134990264891509
"V204",1,0.0954122799191332,0.0954122799191332,15.5521567742076,0.000119230711887313
"V207",1,0.0735018171988484,0.0735018171988484,11.9807616507486,0.00068739156115363
"V208",1,0.0714905076272551,0.0714905076272551,11.6529191360807,0.000809899047022518
