"","Df","Deviance","Resid. Df","Resid. Dev"
"NULL",NA,NA,15977,440.156778069846
"acid_reflux",1,2.96781788383146,15976,437.188960186015
"acne_medication",1,38.6290079099422,15975,398.559952276072
"add_adhd",1,3.75673815007281,15974,394.803214125999
"age_cat",1,41.0487563858572,15973,353.754457740142
"age_corrected",1,11.924573479432,15972,341.82988426071
"age_years",1,3.93261475774938,15971,337.897269502961
"alcohol_consumption",1,8.02028593235059,15970,329.87698357061
"allergic_to_i_have_no_food_allergies_that_i_know_of",1,14.0879059483951,15969,315.789077622215
"allergic_to_other",1,26.037368509106,15968,289.751709113109
"allergic_to_peanuts",1,30.0326999349576,15967,259.719009178152
"allergic_to_shellfish",1,8.85194068564203,15966,250.86706849251
"allergic_to_tree_nuts",1,2.85170598876107,15965,248.015362503749
"allergic_to_unspecified",1,24.2288881490197,15964,223.786474354729
"alzheimers",1,0.348914052059428,15963,223.437560302669
"antibiotic_history",1,1.60293552653457e-07,15962,223.437560142376
"asd2",1,77.5725996526762,15961,145.8649604897
"assigned_from_geo",1,4.76770887312176,15960,141.097251616578
"autoimmune",1,0.733796110937249,15959,140.363455505641
"birth_year",1,0.00636387204232847,15958,140.357091633598
"bmi",1,0.000466762544078847,15957,140.356624871054
"bmi_cat",1,0.33459121005373,15956,140.022033661001
"bmi_corrected",1,0.216300515463729,15955,139.805733145537
"bowel_movement_frequency",1,0.0829239633391126,15954,139.722809182198
"bowel_movement_quality",1,1.99439862842021,15953,137.728410553777
"breastmilk_formula_ensure",1,0.318257625786515,15952,137.410152927991
"cancer",1,0.0534568013960381,15951,137.356696126595
"cardiovascular_disease",1,1.06660948302545,15950,136.290086643569
"cat",1,0.0974340677219914,15949,136.192652575847
"cdiff",1,1.40256244277441,15948,134.790090133073
"census_region",1,0.008936661095305,15947,134.781153471978
"chickenpox",1,0.0295956376909032,15946,134.751557834287
"clinical_condition",1,0.0653520281398414,15945,134.686205806147
"collection_date",0,0,15945,134.686205806147
"collection_month",1,0.00275171655505346,15944,134.683454089592
"collection_season",1,0.0153002454188709,15943,134.668153844173
"collection_timestamp",0,0,15943,134.668153844173
"consume_animal_products_abx",1,0.0878961985892488,15942,134.580257645584
"contraceptive",1,0.0360302526290752,15941,134.544227392955
"cosmetics_frequency",1,0.0319539454613107,15940,134.512273447493
"country",1,0.035419336556032,15939,134.476854110937
"country_of_birth",1,0.0249311533369223,15938,134.451922957601
"country_residence",1,0.0165787368715939,15937,134.435344220729
"csection",1,0.137057627587296,15936,134.298286593142
"deodorant_use",1,0.00563310202437606,15935,134.292653491117
"depression_bipolar_schizophrenia",1,0.0767638102424826,15934,134.215889680875
"description",0,0,15934,134.215889680875
"diabetes",1,0.0400789455710253,15933,134.175810735304
