"","Df","Deviance","Resid. Df","Resid. Dev"
"NULL",NA,NA,13184,434.641638225256
"V1",1,0.0031068575163431,13183,434.63853136774
"V2",1,0.00208920524761425,13182,434.636442162492
"V3",1,0.00355513510328365,13181,434.632887027389
"V4",1,0.00377201757044077,13180,434.629115009818
"V5",1,0.00612940282690033,13179,434.622985606991
"V6",1,0.00490330266785577,13178,434.618082304324
"V7",1,0.00119668220031599,13177,434.616885622123
"V8",1,0.0106329566005456,13176,434.606252665523
"V9",1,0.00197113180070119,13175,434.604281533722
"V10",1,0.0067411072012078,13174,434.597540426521
"V11",1,0.0209497777445335,13173,434.576590648776
"V12",1,0.0375295628261938,13172,434.53906108595
"V13",1,0.0120510354817611,13171,434.527010050468
"V14",1,0.00197469990888521,13170,434.525035350559
"V15",1,0.00510110634104421,13169,434.519934244218
"V16",1,0.00333223865555965,13168,434.516602005563
"V17",1,0.000368163825271495,13167,434.516233841738
"V18",1,0.00609752986991907,13166,434.510136311868
"V19",1,0.0010783737965312,13165,434.509057938071
"V20",1,0.0181770334693852,13164,434.490880904602
"V21",1,0.0010510686341263,13163,434.489829835968
"V22",1,0.00300893901862764,13162,434.486820896949
"V23",1,0.00118873102917405,13161,434.48563216592
"V24",1,0.00118891322188119,13160,434.484443252698
"V25",0,0,13160,434.484443252698
"V26",1,0.00421987141191948,13159,434.480223381286
"V27",1,0.009651339685945,13158,434.4705720416
"V28",1,0.000567762388300252,13157,434.470004279212
"V29",1,9.6071485813809e-05,13156,434.469908207726
"V30",1,0.00294594588734753,13155,434.466962261839
"V31",1,0.000963995052075006,13154,434.465998266787
"V32",1,0.000484579097587812,13153,434.465513687689
"V33",1,0.000615597228318165,13152,434.464898090461
"V34",1,4.62211201579521e-05,13151,434.46485186934
"V35",1,0.00313069645983433,13150,434.461721172881
"V36",1,0.0104146718722404,13149,434.451306501008
"V37",1,0.0064336318283722,13148,434.44487286918
"V38",1,0.0692524301996968,13147,434.37562043898
"V39",1,0.000543291882024732,13146,434.375077147098
"V40",1,0.00121224372946926,13145,434.373864903369
"V41",1,0.00340416147781752,13144,434.370460741891
"V42",1,0.00120322911902804,13143,434.369257512772
"V43",1,0.000386346442326158,13142,434.36887116633
"V44",1,0.00367896988427674,13141,434.365192196445
"V45",1,0.000213532546979422,13140,434.364978663898
"V46",1,0.00233440408243268,13139,434.362644259816
"V47",1,0.0001900756494706,13138,434.362454184166
"V48",1,0.00261125974691367,13137,434.35984292442
"V49",1,0.00310126760621188,13136,434.356741656813
"V50",1,0.00222236976350132,13135,434.35451928705
"V51",1,0.142177049889085,13134,434.212342237161
"V52",1,0.000816638707931361,13133,434.211525598453
"V53",1,0.000309535633448377,13132,434.211216062819
"V54",1,0.000180935145976946,13131,434.211035127673
"V55",1,0.00198322914604887,13130,434.209051898527
"V56",1,0.0012249198530867,13129,434.207826978674
"V57",1,0.000252595501535779,13128,434.207574383173
"V58",1,0.00011249363404886,13127,434.207461889539
"V59",1,0.00122309953587774,13126,434.206238790003
"V60",1,0.00756278609787842,13125,434.198676003905
"V61",1,0.0478871172982736,13124,434.150788886607
"V62",1,0.00113439511301294,13123,434.149654491494
"V63",1,0.00308115286748034,13122,434.146573338626
"V64",1,5.6242107007165e-06,13121,434.146567714415
"V65",1,0.00261976535676922,13120,434.143947949059
"V66",1,0.00671346043895937,13119,434.13723448862
"V67",1,0.0012293832216983,13118,434.136005105398
"V68",1,0.000565172041206097,13117,434.135439933357
"V69",1,0.0128477900425423,13116,434.122592143314
"V70",1,0.00277145035227022,13115,434.119820692962
"V71",1,0.00132240097894964,13114,434.118498291983
"V72",1,0.000382243124363413,13113,434.118116048859
"V73",1,0.0132892616245499,13112,434.104826787234
"V74",1,6.21657439978662e-05,13111,434.10476462149
"V75",1,0.00378853672123114,13110,434.100976084769
"V76",1,0.00022526490238306,13109,434.100750819867
"V77",1,0.00127545412550489,13108,434.099475365741
"V78",1,0.000217738325090977,13107,434.099257627416
"V79",1,0.00245701311246194,13106,434.096800614304
"V80",1,0.00763227187565008,13105,434.089168342428
"V81",1,0.00050048717446316,13104,434.088667855253
"V82",0,0,13104,434.088667855253
"V83",1,0.0059532400189255,13103,434.082714615234
"V84",1,0.0233780740522889,13102,434.059336541182
"V85",1,0.00203915869445837,13101,434.057297382488
"V86",1,1.11719811002331e-06,13100,434.05729626529
"V87",1,0.00522684783680916,13099,434.052069417453
"V88",1,0.000676811256141718,13098,434.051392606197
"V89",1,0.000222809014701397,13097,434.051169797182
"V90",0,0,13097,434.051169797182
"V91",1,0.00102150609848195,13096,434.050148291083
"V92",1,0.000200417652308715,13095,434.049947873431
"V93",1,0.000524167933633635,13094,434.049423705498
"V94",1,0.000178250466092322,13093,434.049245455031
"V95",1,0.00129120269923533,13092,434.047954252332
"V96",1,0.000221673394719346,13091,434.047732578937
"V97",0,0,13091,434.047732578937
"V98",1,0.0304906994732619,13090,434.017241879464
"V99",1,0.000597492207020878,13089,434.016644387257
"V100",1,0.00162642074474206,13088,434.015017966512
"V101",1,0.000446454525956597,13087,434.014571511987
"V102",1,0.00197029494046319,13086,434.012601217046
"V103",1,0.0224055411559902,13085,433.99019567589
"V104",1,3.90598535204845e-05,13084,433.990156616037
"V105",1,0.00496275269335911,13083,433.985193863343
"V106",1,0.000122215181136198,13082,433.985071648162
"V107",1,0.000977926167593068,13081,433.984093721994
"V108",1,0.0006382773506175,13080,433.983455444644
"V109",1,1.23522783042063e-05,13079,433.983443092366
"V110",1,0.00633410396875433,13078,433.977108988397
"V111",1,0.0107991317440792,13077,433.966309856653
"V112",1,0.00565402136658122,13076,433.960655835286
"V113",1,0.00128432666582512,13075,433.95937150862
"V114",1,0.260350409184866,13074,433.699021099435
"V115",1,0.00166107403930482,13073,433.697360025396
"V116",1,0.000791855007378217,13072,433.696568170389
"V117",1,0.000306503887770759,13071,433.696261666501
"V118",1,0.000589334079279524,13070,433.695672332422
"V119",1,0.0147611304577708,13069,433.680911201964
"V120",1,0.00428989344925412,13068,433.676621308515
"V121",1,0.00206947987186368,13067,433.674551828643
"V122",1,0.00248625202351604,13066,433.672065576619
"V123",1,0.000473397587313684,13065,433.671592179032
"V124",1,0.0012205500734126,13064,433.670371628959
"V125",1,0.0114247292306118,13063,433.658946899728
"V126",1,0.00419912737538652,13062,433.654747772353
"V127",1,0.00340257925893184,13061,433.651345193094
"V128",1,0.000157888733042455,13060,433.651187304361
"V129",1,0.00691161461884349,13059,433.644275689742
"V130",1,0.00497698912744227,13058,433.639298700614
"V131",1,0.000606643513719973,13057,433.638692057101
"V132",1,0.00123710807838506,13056,433.637454949022
"V133",1,1.61016140509673e-06,13055,433.637453338861
"V134",1,0.0148546321423737,13054,433.622598706718
"V135",1,0.00392853440035879,13053,433.618670172318
"V136",1,0.00101749639935633,13052,433.617652675919
"V137",1,0.00154303252082855,13051,433.616109643398
"V138",1,0.0312556931378936,13050,433.58485395026
"V139",1,0.00442122291212854,13049,433.580432727348
"V140",1,0.00185309520225019,13048,433.578579632146
"V141",1,0.00367719260958665,13047,433.574902439536
"V142",1,0.133625092897603,13046,433.441277346638
"V143",1,0.00252759219665677,13045,433.438749754442
"V144",1,0.00415722836720533,13044,433.434592526075
"V145",1,0.0265870780368687,13043,433.408005448038
"V146",1,0.034828659355469,13042,433.373176788682
"V147",1,0.000114567196817461,13041,433.373062221485
"V148",1,0.00438717349612716,13040,433.368675047989
"V149",1,0.00530393605851032,13039,433.363371111931
"V150",1,0.000748803565386424,13038,433.362622308365
"V151",1,0.0121094614811454,13037,433.350512846884
"V152",1,0.00808716497795103,13036,433.342425681906
"V153",1,0.00198374786685918,13035,433.340441934039
"V154",1,0.00245229715949336,13034,433.33798963688
"V155",1,0.00121894715437065,13033,433.336770689726
"V156",1,1.79327201976776e-06,13032,433.336768896454
"V157",1,0.0023629564450971,13031,433.334405940008
"V158",1,0.0033352438161387,13030,433.331070696192
"V159",1,0.0143292911871526,13029,433.316741405005
"V160",1,0.000387067731651314,13028,433.316354337273
"V161",1,0.0177850371631507,13027,433.29856930011
"V162",1,0.00242513815163647,13026,433.296144161959
"V163",1,0.000127976077806125,13025,433.296016185881
"V164",1,0.00570086079477505,13024,433.290315325086
"V165",1,0.00279707355821301,13023,433.287518251528
"V166",1,0.0124515559979272,13022,433.27506669553
"V167",1,0.0109533313247425,13021,433.264113364205
"V168",1,0.132161440340326,13020,433.131951923865
"V169",1,0.00110074196777532,13019,433.130851181897
"V170",1,0.00038429584003552,13018,433.130466886057
"V171",1,0.000239352890616829,13017,433.130227533166
"V172",1,0.00635098612917773,13016,433.123876547037
"V173",1,4.10580014431616e-10,13015,433.123876546627
"V174",1,0.00873933172118768,13014,433.115137214906
"V175",1,0.00382870188326478,13013,433.111308513022
"V176",1,0.00246395482810158,13012,433.108844558194
"V177",1,0.000144832041996779,13011,433.108699726152
"V178",1,0.00046615054037602,13010,433.108233575612
"V179",1,0.000230117331057045,13009,433.108003458281
"V180",1,0.00299194291557114,13008,433.105011515365
"V181",1,0.0146143054390109,13007,433.090397209926
"V182",1,0.00023049888739024,13006,433.090166711039
"V183",1,0.0323120687746155,13005,433.057854642264
"V184",1,8.78454258099737e-05,13004,433.057766796838
"V185",1,0.000577891339162306,13003,433.057188905499
"V186",1,0.000123849662827524,13002,433.057065055836
"V187",1,0.000162232312334254,13001,433.056902823524
"V188",1,1.6291322140205e-05,13000,433.056886532202
"V189",1,3.88861095075299e-05,12999,433.056847646092
"V190",1,0.000907603188807116,12998,433.055940042904
"V191",1,0.00372179957946628,12997,433.052218243324
"V192",1,0.00204598510492815,12996,433.050172258219
"V193",1,0.00103572658963458,12995,433.04913653163
