"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"V2",1,0.108711005407087,0.108711005407087,0.76624406785713,0.381649928859176
"V3",1,0.108925050265707,0.108925050265707,0.767752752305021,0.381181881283306
"V4",1,0.0121160234715434,0.0121160234715434,0.0853991836090829,0.770187128499381
"V5",1,0.0606199028989579,0.0606199028989579,0.427276344436912,0.513520350280276
"V6",1,0.205387338609015,0.205387338609015,1.4476623524251,0.229267080806021
"V8",1,0.294138402907631,0.294138402907631,2.07321977671866,0.150304438177403
"V11",1,0.154611821179385,0.154611821179385,1.08977366510095,0.296843545255161
"V12",1,0.51814746969163,0.51814746969163,3.65213644598038,0.0563622160028937
"V13",1,0.205672910196374,0.205672910196374,1.44967518943219,0.228943926187249
"V15",1,0.0573988365661214,0.0573988365661214,0.404572819982623,0.524922931925943
"V16",1,0.0262329895671297,0.0262329895671297,0.184901910921529,0.667312339773637
"V18",1,0.173312456572035,0.173312456572035,1.22158415550272,0.269389479155664
"V19",1,0.254192066626799,0.254192066626799,1.79166002944933,0.18111255474671
"V21",1,0.000800692623525348,0.000800692623525348,0.00564364178820539,0.940135101434392
"V22",1,0.0722878932640515,0.0722878932640515,0.509517589171866,0.475560473154285
"V23",1,0.0628886268088171,0.0628886268088171,0.443267331099445,0.505745739012972
"V26",1,0.046980678125639,0.046980678125639,0.331140952867401,0.56515335419848
"V27",1,0.118583350206179,0.118583350206179,0.835828794903091,0.360873906114756
"V30",1,0.00093459119194525,0.00093459119194525,0.00658741913036235,0.935333130847835
"V32",1,0.051300350412207,0.051300350412207,0.3615879462723,0.547799694470239
"V35",1,0.0468456538485146,0.0468456538485146,0.330189241023915,0.565712729517232
"V36",1,0.0167437640729434,0.0167437640729434,0.118017581076072,0.731286830810617
"V37",1,0.00810967569665636,0.00810967569665636,0.0571606423060729,0.811103849978458
"V38",1,0.535196111929364,0.535196111929364,3.77230294550601,0.0524661004662387
"V41",1,0.0475641382815585,0.0475641382815585,0.335253442505687,0.562748447091366
"V49",1,0.0173445147374314,0.0173445147374314,0.122251941996582,0.726698814208955
"V51",1,0.591825196114885,0.591825196114885,4.1714502044505,0.0414450817509304
"V56",1,0.430561806387427,0.430561806387427,3.03479329213073,0.0818895863286715
"V57",1,0.0413735288607737,0.0413735288607737,0.29161924257042,0.589338294460549
"V60",1,0.0753989321423823,0.0753989321423823,0.53144559063287,0.466217727641629
"V61",1,0.108536296647814,0.108536296647814,0.765012641932084,0.3820325647194
"V63",1,0.0249251419592521,0.0249251419592521,0.175683612668792,0.675224181532871
"V64",1,0.558544711690384,0.558544711690384,3.93687437958168,0.0475872139344201
"V66",1,0.00599019083251508,0.00599019083251508,0.0422215595703396,0.837251425347628
"V69",1,0.0202931552159677,0.0202931552159677,0.14303528648375,0.705384488788741
"V70",1,0.0719496782407148,0.0719496782407148,0.507133697547265,0.4765944259284
"V71",1,0.0025904222550887,0.0025904222550887,0.0182584613100947,0.892548662087731
"V72",1,0.00152622134842748,0.00152622134842748,0.0107574946077467,0.917419429007869
"V73",1,0.127119004104787,0.127119004104787,0.895991923195376,0.344150721220521
"V74",1,0.000207837151255288,0.000207837151255288,0.00146492973396148,0.96947865733288
"V75",1,0.157815764085553,0.157815764085553,1.11235649594141,0.291895597944898
"V76",1,0.163824913667008,0.163824913667008,1.15471168530254,0.282896018730413
"V79",1,0.0468121399891281,0.0468121399891281,0.329953020267334,0.565851736061132
"V80",1,0.0126926464394586,0.0126926464394586,0.0894634816707252,0.764939708033912
"V81",1,0.00220635079577506,0.00220635079577506,0.0155513528970111,0.900789056393406
"V83",1,0.0635685888220211,0.0635685888220211,0.448060009237548,0.503454989910439
"V84",1,0.13537089836576,0.13537089836576,0.95415498591729,0.32896561969858
"V85",1,7.69040743238388e-05,7.69040743238388e-05,0.00054205450978971,0.98143121041361
"V86",1,0.0687458428481896,0.0687458428481896,0.484551624511327,0.486574385754162
"V88",1,0.0874225009978705,0.0874225009978705,0.616193112518902,0.432702915192113
"V91",1,0.0722364047614714,0.0722364047614714,0.509154675044478,0.475717642142717
"V92",1,0.0260084800351997,0.0260084800351997,0.183319466748793,0.668653670749077
"V93",1,0.0018644188473578,0.0018644188473578,0.0131412627124485,0.908763550661355
"V95",1,0.0208343691611535,0.0208343691611535,0.146850005825064,0.701667980532926
"V96",1,0.0503341332761112,0.0503341332761112,0.354777613261186,0.551593139194645
"V98",1,0.0984220578986802,0.0984220578986802,0.693722937514457,0.405154927269227
"V101",1,0.0453307906409115,0.0453307906409115,0.319511803701959,0.572063101583892
